"COMPANY 
","FROM YEAR 
","TO YEAR 
","ATTACHMENT 
","**XBRL 
","ORIGINAL SUBMISSION DATE 
","LATEST REVISION DATE 
"
"KELLTON TECH SOLUTIONS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/KELLTONTEC_07092024123321_KTSL_BRSR_FY2023_24.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240221_07092024123424_WEB.xml","07-Sep-2024","-"
"Roto Pumps Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ROTO_07092024000018_Letter_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240163_07092024120039_WEB.xml","07-Sep-2024","-"
"Bajaj Healthcare Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/BAJAJHCARE_06092024234920_BRSRBHL.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240157_06092024115119_WEB.xml","06-Sep-2024","-"
"BALU FORGE INDUSTRIES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/BALUFORGE_06092024232849_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240151_06092024112908_WEB.xml","06-Sep-2024","-"
"Mufin Green Finance Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/MUFIN_06092024231935_IntimationBRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240148_06092024112022_WEB.xml","06-Sep-2024","-"
"Azad Engineering Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/AZAD2356_06092024231148_DSC.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240145_06092024111205_WEB.xml","06-Sep-2024","-"
"Prakash Industries Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PRAKASH_06092024230034_PIL_BRSR_to_SE_06092024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240143_06092024110214_WEB.xml","06-Sep-2024","-"
"WEBSOL ENERGY SYSTEM LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/WEBELSOLAR_06092024225632_WEBSOLBRSRREPORT2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240139_06092024105709_WEB.xml","06-Sep-2024","-"
"IndoStar Capital Finance Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/INDOSTAR_06092024221220_nse.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240105_06092024101237_WEB.xml","06-Sep-2024","-"
"Signatureglobal (India) Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/SGLOBAL_06092024220246_brsr.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240102_06092024100637_WEB.xml","06-Sep-2024","-"
"Easy Trip Planners Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/EASEMYTRIP_06092024214618_ETPLAR24BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240087_06092024094651_WEB.xml","06-Sep-2024","-"
"Valor Estate Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/DBREALTY_06092024213845_brsr.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240084_06092024094257_WEB.xml","06-Sep-2024","-"
"Mishra Dhatu Nigam Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/MIDHANI_06092024213441_MDN_BRSR_FY_23_24_signed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240081_06092024093513_WEB.xml","06-Sep-2024","-"
"ARIHANT CAPITAL MARKETS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/ARIHANTCAP_06092024211554_BRSR_FINAL.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240072_06092024091611_WEB.xml","06-Sep-2024","-"
"Kaveri Seed Company Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/KSCL_06092024210622_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240065_06092024090635_WEB.xml","06-Sep-2024","-"
"SASTASUNDAR VENTURES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/SASTASUNDR_06092024205333_SVLAnnualBRSR2024sign.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240049_06092024085347_WEB.xml","06-Sep-2024","-"
"Gallantt Ispat Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/GALLANTT_06092024204940_Gallantt_BRSR_2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240045_06092024085024_WEB.xml","06-Sep-2024","-"
"Caplin Point Laboratories Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/CAPLINPOINT_06092024204807_BRSRintimation060924.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240042_06092024084829_WEB.xml","06-Sep-2024","-"
"BEST AGROLIFE LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/BESTAGRO_06092024201633_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240018_06092024081647_WEB.xml","06-Sep-2024","-"
"Agro Tech Foods Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/ATFL_06092024195356_ATFLBRSR2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239998_06092024075407_WEB.xml","06-Sep-2024","-"
"EMS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/EMSLIMITED_06092024195319_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239995_06092024075341_WEB.xml","06-Sep-2024","-"
"LA OPALA RG LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/LAOPALA_07092024141258_SE_BRSR.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1240245_07092024021329_WEB.xml","06-Sep-2024","07-Sep-2024"
"Prime Focus Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/PFOCUS_06092024193246_IntimationofBRSRsigned.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239981_06092024073311_WEB.xml","06-Sep-2024","-"
"Rashtriya Chemicals and Fertilizers Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/RCF_06092024185633_BRSR_2023_2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239925_06092024065644_WEB.xml","06-Sep-2024","-"
"Rail Vikas Nigam Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/RVNL_06092024185446_BRSRSTX21STAGM.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239924_06092024065518_WEB.xml","06-Sep-2024","-"
"MAITHAN ALLOYS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/MAITHANALL_06092024181238_BRSRsd.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239873_06092024061315_WEB.xml","06-Sep-2024","-"
"Pokarna Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/POKARNA_06092024180952_BRSR_06092024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239864_06092024060959_WEB.xml","06-Sep-2024","-"
"SMS PHARMACEUTICALS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/SMSPHARMA_06092024174807_BRSR_2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239816_06092024054910_WEB.xml","06-Sep-2024","-"
"SIGNPOST INDIA LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/SIGNPOST_06092024173430_Exchanges_Signpost_BRSR_2023_24.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239782_06092024053450_WEB.xml","06-Sep-2024","-"
"HPL Electric & Power Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/HPL_06092024171545_HPL_BRSR_060924.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239723_06092024051605_WEB.xml","06-Sep-2024","-"
"Faze Three Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/FAZETHREE_06092024171109_Submission.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239713_06092024051139_WEB.xml","06-Sep-2024","-"
"IIFL Finance Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/IIFL_06092024165633_SE_BRSR05092024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239695_06092024050151_WEB.xml","06-Sep-2024","-"
"ETHOS LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/ETHOS_06092024170025_38_compressed.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239693_06092024050037_WEB.xml","06-Sep-2024","-"
"Jyoti CNC Automation Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/JYOTICNC_NSE_06092024164820_NSEbseIntimationBRSRjcal2024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239666_06092024044829_WEB.xml","06-Sep-2024","-"
"Authum Investment & Infrastructure Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/Authum123_06092024163346_SE_Intimation_BRSR_Upload.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239637_06092024043538_WEB.xml","06-Sep-2024","-"
"Nalwa Sons Investments Limited",2023,2024,"https://nsearchives.nseindia.com/corporate/NSIL_06092024162546_STKBRSRNSIL.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239619_06092024042606_WEB.xml","06-Sep-2024","-"
"GENESYS INTERNATIONAL CORPORATION LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/GENESYS_06092024161848_GenesysBRSRintimation.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239610_06092024042117_WEB.xml","06-Sep-2024","-"
"SHRIRAM PROPERTIES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/SHRIRAMPPS_06092024152123_BRSR_FY24_v2.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239513_06092024032201_WEB.xml","06-Sep-2024","-"
"RAMA STEEL TUBES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/RAMASTEEL_06092024150647_SignedIntimationofBRSR06092024.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239477_06092024030844_WEB.xml","06-Sep-2024","-"
"GREENPLY INDUSTRIES LIMITED",2023,2024,"https://nsearchives.nseindia.com/corporate/GREEN_06092024144415_BRSR_2023_24_Green.pdf","https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1239452_06092024025104_WEB.xml","06-Sep-2024","-"
